HIVpos_only_Mtb_DEG,HIVneg_only_Mtb_DEG
ENSG00000183621,ENSG00000132819
ENSG00000183647,ENSG00000132964
ENSG00000183856,ENSG00000133030
ENSG00000184305,ENSG00000133169
ENSG00000184792,ENSG00000133250
ENSG00000184923,ENSG00000133574
ENSG00000184985,ENSG00000133612
ENSG00000185818,ENSG00000133687
ENSG00000186104,ENSG00000133739
ENSG00000186230,ENSG00000133983
ENSG00000186814,ENSG00000134198
ENSG00000186918,ENSG00000134324
ENSG00000187116,ENSG00000134574
ENSG00000187118,ENSG00000134597
ENSG00000187187,ENSG00000134744
ENSG00000187325,ENSG00000134748
ENSG00000187837,ENSG00000134853
ENSG00000188428,ENSG00000134982
ENSG00000188542,ENSG00000135070
ENSG00000188822,ENSG00000135116
ENSG00000188895,ENSG00000135245
ENSG00000189190,ENSG00000135363
ENSG00000196208,ENSG00000135698
ENSG00000196338,ENSG00000135749
ENSG00000196531,ENSG00000135929
ENSG00000196569,ENSG00000135930
ENSG00000197016,ENSG00000136059
ENSG00000197249,ENSG00000136367
ENSG00000197993,ENSG00000136807
ENSG00000198060,ENSG00000136827
ENSG00000198131,ENSG00000136866
ENSG00000198157,ENSG00000136930
ENSG00000198182,ENSG00000137103
ENSG00000198203,ENSG00000137185
ENSG00000198690,ENSG00000137404
ENSG00000198933,ENSG00000137492
ENSG00000203950,ENSG00000137747
ENSG00000204227,ENSG00000137804
ENSG00000204519,ENSG00000137815
ENSG00000204576,ENSG00000138032
ENSG00000204604,ENSG00000138138
ENSG00000204632,ENSG00000138375
ENSG00000204659,ENSG00000138411
ENSG00000204946,ENSG00000138641
ENSG00000204991,ENSG00000138741
ENSG00000205084,ENSG00000138764
ENSG00000205683,ENSG00000138834
ENSG00000213139,ENSG00000139044
ENSG00000213762,ENSG00000139174
ENSG00000213793,ENSG00000139192
ENSG00000213988,ENSG00000139629
ENSG00000213995,ENSG00000139675
ENSG00000214029,ENSG00000139714
ENSG00000221890,ENSG00000139890
ENSG00000225663,ENSG00000140043
ENSG00000233822,ENSG00000140299
ENSG00000234444,ENSG00000140396
ENSG00000239605,ENSG00000140443
ENSG00000243244,ENSG00000140471
ENSG00000244038,ENSG00000140575
ENSG00000257108,ENSG00000141040
ENSG00000267508,ENSG00000141232
ENSG00000273542,ENSG00000141504
ENSG00000275379,ENSG00000141543
ENSG00000276644,ENSG00000141736
ENSG00000276966,ENSG00000141741
ENSG00000277075,ENSG00000141753
ENSG00000277157,ENSG00000141959
ENSG00000283787,ENSG00000142330
,ENSG00000142507
,ENSG00000142583
,ENSG00000142765
,ENSG00000143195
,ENSG00000143256
,ENSG00000143365
,ENSG00000143367
,ENSG00000143393
,ENSG00000143614
,ENSG00000143624
,ENSG00000143801
,ENSG00000143811
,ENSG00000144031
,ENSG00000144043
,ENSG00000144218
,ENSG00000144468
,ENSG00000144535
,ENSG00000144580
,ENSG00000144935
,ENSG00000145700
,ENSG00000145908
,ENSG00000145990
,ENSG00000146066
,ENSG00000146350
,ENSG00000146535
,ENSG00000146574
,ENSG00000146576
,ENSG00000146904
,ENSG00000147166
,ENSG00000147174
,ENSG00000147180
,ENSG00000147231
,ENSG00000147548
,ENSG00000147586
,ENSG00000147642
,ENSG00000147799
,ENSG00000147853
,ENSG00000148110
,ENSG00000148483
,ENSG00000148498
,ENSG00000148848
,ENSG00000149179
,ENSG00000149599
,ENSG00000150907
,ENSG00000151023
,ENSG00000151092
,ENSG00000151240
,ENSG00000151304
,ENSG00000151348
,ENSG00000151689
,ENSG00000151729
,ENSG00000151882
,ENSG00000151914
,ENSG00000152601
,ENSG00000152894
,ENSG00000153310
,ENSG00000153879
,ENSG00000153904
,ENSG00000154040
,ENSG00000154134
,ENSG00000155008
,ENSG00000155367
,ENSG00000155957
,ENSG00000155970
,ENSG00000156097
,ENSG00000156467
,ENSG00000157191
,ENSG00000157193
,ENSG00000157303
,ENSG00000157326
,ENSG00000157693
